song_id,artist_id,role,credit_order,source_url
J00001,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00002,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00003,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00004,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00005,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00006,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00007,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00008,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00009,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00010,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00011,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00012,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00013,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00014,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00015,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00016,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00017,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00018,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00019,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00020,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00021,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00022,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00023,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00024,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00025,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00026,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00027,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
J00028,G00001,primary,1,https://helloproject.com/juicejuice/release/6692/
